@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2023/06/13 10:16:18:356',3,0,0,0,0,0,0,0,0,0
2,'2023/06/13 10:16:18:380',3,0,0,0,0,0,0,0,0,0
3,'2023/06/13 10:16:18:405',3,0,0,0,0,0,0,0,0,0
4,'2023/06/13 10:16:18:424',3,0,0,0,0,0,0,0,0,0
5,'2023/06/13 10:16:18:451',3,0,0,0,0,0,0,0,0,0
6,'2023/06/13 10:16:18:469',3,0,0,0,0,0,0,0,0,0
7,'2023/06/13 10:16:18:494',3,0,0,0,0,0,0,0,0,0
8,'2023/06/13 10:16:18:518',3,0,0,0,0,0,0,0,0,0
9,'2023/06/13 10:16:18:544',3,0,0,0,0,0,0,0,0,0
10,'2023/06/13 10:16:18:564',3,0,0,0,0,0,0,0,0,0
11,'2023/06/13 10:16:18:590',3,0,0,0,0,0,0,0,0,0
12,'2023/06/13 10:16:18:613',3,0,0,0,0,0,0,0,0,0
13,'2023/06/13 10:16:18:637',3,622.416016,1179.30542,622.416016,1179.30542,0,0,0,0,0
14,'2023/06/13 10:16:18:655',3,0,0,0,0,0,0,0,0,0
15,'2023/06/13 10:16:18:680',3,0,0,0,0,0,0,0,0,0
16,'2023/06/13 10:16:18:705',3,0,0,0,0,0,0,0,0,0
17,'2023/06/13 10:16:18:730',3,0,0,0,0,0,0,0,0,0
18,'2023/06/13 10:16:18:749',3,0,0,0,0,0,0,0,0,0
19,'2023/06/13 10:16:18:773',3,0,0,0,0,0,0,0,0,0
20,'2023/06/13 10:16:18:799',3,907.111389,1095.359619,907.111389,1095.359619,0,0,0,0,0
21,'2023/06/13 10:16:18:819',3,0,0,0,0,0,0,0,0,0
22,'2023/06/13 10:16:18:845',3,0,0,0,0,0,0,0,0,0
23,'2023/06/13 10:16:18:869',3,0,0,0,0,0,0,0,0,0
24,'2023/06/13 10:16:18:888',3,0,0,0,0,0,0,0,0,0
25,'2023/06/13 10:16:18:912',3,0,0,0,0,0,0,0,0,0
26,'2023/06/13 10:16:18:938',3,0,0,0,0,0,0,0,0,0
27,'2023/06/13 10:16:18:961',3,0,0,0,0,0,0,0,0,0
28,'2023/06/13 10:16:18:985',3,0,0,0,0,0,0,0,0,0
29,'2023/06/13 10:16:19:004',3,0,0,0,0,0,0,0,0,0
30,'2023/06/13 10:16:19:029',3,566.895813,1213.424072,566.895813,1213.424072,0,0,0,0,0
31,'2023/06/13 10:16:19:052',3,503.564606,1090.864258,503.564606,1090.864258,0,0,0,0,0
32,'2023/06/13 10:16:19:078',3,0,0,0,0,0,0,0,0,0
33,'2023/06/13 10:16:19:102',3,0,0,0,0,0,0,0,0,0
34,'2023/06/13 10:16:19:122',3,613.83197,1167.734253,613.83197,1167.734253,0,0,0,0,0
35,'2023/06/13 10:16:19:148',3,899.959045,1195.884277,899.959045,1195.884277,0,0,0,0,0
36,'2023/06/13 10:16:19:167',3,176.93959,1051.550781,176.93959,1051.550781,0,0,0,0,0
37,'2023/06/13 10:16:19:193',3,0,0,0,0,0,0,0,0,0
38,'2023/06/13 10:16:19:212',3,0,0,0,0,0,0,0,0,0
39,'2023/06/13 10:16:19:239',3,0,0,0,0,0,0,0,0,0
40,'2023/06/13 10:16:19:263',3,0,0,0,0,0,0,0,0,0
41,'2023/06/13 10:16:19:282',3,0,0,0,0,0,0,0,0,0
42,'2023/06/13 10:16:19:306',3,0,0,0,0,0,0,0,0,0
43,'2023/06/13 10:16:19:331',3,0,0,0,0,0,0,0,0,0
44,'2023/06/13 10:16:19:358',3,0,0,0,0,0,0,0,0,0
45,'2023/06/13 10:16:19:377',3,0,0,0,0,0,0,0,0,0
46,'2023/06/13 10:16:19:401',3,0,0,0,0,0,0,0,0,0
47,'2023/06/13 10:16:19:426',3,0,0,0,0,0,0,0,0,0
48,'2023/06/13 10:16:19:445',3,0,0,0,0,0,0,0,0,0
49,'2023/06/13 10:16:19:471',3,0,0,0,0,0,0,0,0,0
50,'2023/06/13 10:16:19:497',3,0,0,0,0,0,0,0,0,0
51,'2023/06/13 10:16:19:517',3,0,0,0,0,0,0,0,0,0
52,'2023/06/13 10:16:19:542',3,0,0,0,0,0,0,0,0,0
53,'2023/06/13 10:16:19:561',3,0,0,0,0,0,0,0,0,0
54,'2023/06/13 10:16:19:586',3,0,0,0,0,0,0,0,0,0
55,'2023/06/13 10:16:19:611',3,0,0,0,0,0,0,0,0,0
56,'2023/06/13 10:16:19:635',3,0,0,0,0,0,0,0,0,0
57,'2023/06/13 10:16:19:655',3,0,0,0,0,0,0,0,0,0
58,'2023/06/13 10:16:19:679',3,0,0,0,0,0,0,0,0,0
59,'2023/06/13 10:16:19:705',3,0,0,0,0,0,0,0,0,0
60,'2023/06/13 10:16:19:724',3,0,0,0,0,0,0,0,0,0
61,'2023/06/13 10:16:19:749',3,0,0,0,0,0,0,0,0,0
62,'2023/06/13 10:16:19:772',3,0,0,0,0,0,0,0,0,0
63,'2023/06/13 10:16:19:796',3,0,0,0,0,0,0,0,0,0
64,'2023/06/13 10:16:19:816',3,0,0,0,0,0,0,0,0,0
65,'2023/06/13 10:16:19:841',3,0,0,0,0,0,0,0,0,0
66,'2023/06/13 10:16:19:864',3,0,0,0,0,0,0,0,0,0
67,'2023/06/13 10:16:19:889',3,0,0,0,0,0,0,0,0,0
68,'2023/06/13 10:16:19:913',3,0,0,0,0,0,0,0,0,0
69,'2023/06/13 10:16:19:937',3,0,0,0,0,0,0,0,0,0
