@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
13600,'2023/06/13 11:32:24:666',50,0,0,0,0,1,0,0,0,0
13601,'2023/06/13 11:32:24:695',50,579.414246,783.899719,579.414246,783.899719,1,0,0,0,0
13604,'2023/06/13 11:32:24:768',50,805.390381,916.972778,805.390381,916.972778,1,0,0,0,0
13611,'2023/06/13 11:32:24:924',50,329.620575,955.163818,329.620575,955.163818,1,0,0,0,0
13612,'2023/06/13 11:32:24:951',50,672.7854,1200.728516,672.7854,1200.728516,1,0,0,0,0
13613,'2023/06/13 11:32:26:597',51,0,0,0,0,1,0,0,0,0
13614,'2023/06/13 11:32:26:626',51,780.813416,1040.489868,780.813416,1040.489868,1,0,0,0,0
13618,'2023/06/13 11:32:26:715',51,818.380371,1133.13855,818.380371,1133.13855,1,0,0,0,0
13623,'2023/06/13 11:32:28:128',52,436.263916,843.216492,436.263916,843.216492,1,0,0,0,0
13624,'2023/06/13 11:32:28:158',52,0,0,0,0,1,0,0,0,0
13625,'2023/06/13 11:32:28:180',52,629.78418,1212.554199,629.78418,1212.554199,1,0,0,0,0
13631,'2023/06/13 11:32:28:316',52,228.067078,783.317505,228.067078,783.317505,1,0,0,0,0
13643,'2023/06/13 11:32:36:488',53,0,0,0,0,1,0,0,0,0
13644,'2023/06/13 11:32:36:513',53,524.272949,847.17395,524.272949,847.17395,1,0,0,0,0
13645,'2023/06/13 11:32:36:532',53,0,0,0,0,1,0,0,0,0
13646,'2023/06/13 11:32:36:558',53,591.970947,769.071533,591.970947,769.071533,1,0,0,0,0
13647,'2023/06/13 11:32:36:582',53,0,0,0,0,1,0,0,0,0
13648,'2023/06/13 11:32:36:606',53,0,0,0,0,1,0,0,0,0
13649,'2023/06/13 11:32:36:625',53,0,0,0,0,1,0,0,0,0
13650,'2023/06/13 11:32:37:416',54,0,0,0,0,1,0,0,0,0
13651,'2023/06/13 11:32:37:442',54,0,0,0,0,1,0,0,0,0
13652,'2023/06/13 11:32:37:463',54,474.52005,800.470032,474.52005,800.470032,1,0,0,0,0
13653,'2023/06/13 11:32:37:491',54,0,0,0,0,1,0,0,0,0
13654,'2023/06/13 11:32:37:509',54,0,0,0,0,1,0,0,0,0
13655,'2023/06/13 11:32:37:538',54,403.313354,835.744934,403.313354,835.744934,1,0,0,0,0
13656,'2023/06/13 11:32:37:558',54,0,0,0,0,1,0,0,0,0
13657,'2023/06/13 11:32:37:578',54,0,0,0,0,1,0,0,0,0
13658,'2023/06/13 11:32:37:602',54,0,0,0,0,1,0,0,0,0
13659,'2023/06/13 11:32:37:628',54,355.886871,1005.084839,355.886871,1005.084839,1,0,0,0,0
13660,'2023/06/13 11:32:38:415',55,0,0,0,0,1,0,0,0,0
13661,'2023/06/13 11:32:38:443',55,0,0,0,0,1,0,0,0,0
13662,'2023/06/13 11:32:38:462',55,0,0,0,0,1,0,0,0,0
13663,'2023/06/13 11:32:38:486',55,0,0,0,0,1,0,0,0,0
13664,'2023/06/13 11:32:38:511',55,687.365601,1192.742188,687.365601,1192.742188,1,0,0,0,0
13665,'2023/06/13 11:32:38:533',55,0,0,0,0,1,0,0,0,0
13666,'2023/06/13 11:32:38:552',55,0,0,0,0,1,0,0,0,0
13667,'2023/06/13 11:32:38:576',55,0,0,0,0,1,0,0,0,0
13668,'2023/06/13 11:32:38:601',55,297.130432,849.691772,297.130432,849.691772,1,0,0,0,0
13669,'2023/06/13 11:32:38:626',55,170.744812,707.829407,170.744812,707.829407,1,0,0,0,0
13684,'2023/06/13 11:32:44:692',57,413.230225,1154.145996,413.230225,1154.145996,0,1,0,0,0
13685,'2023/06/13 11:32:44:708',57,393.355743,485.459564,393.355743,485.459564,0,1,0,0,0
13686,'2023/06/13 11:32:45:519',58,0,0,0,0,0,1,0,0,0
13687,'2023/06/13 11:32:45:545',58,454.023499,1065.936401,454.023499,1065.936401,0,1,0,0,0
13688,'2023/06/13 11:32:45:567',58,0,0,0,0,0,1,0,0,0
13689,'2023/06/13 11:32:45:591',58,0,0,0,0,0,1,0,0,0
13690,'2023/06/13 11:32:45:615',58,0,0,0,0,0,1,0,0,0
