@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
7086,'2023/06/12 23:32:03:915',9,0,0,0,0,0,1,0,0,0,0
7087,'2023/06/12 23:32:03:927',9,0,0,0,0,0,1,0,0,0,0
7088,'2023/06/12 23:32:03:950',9,0,0,0,0,0,1,0,0,0,0
7210,'2023/06/12 23:32:06:481',10,68.04039,4.760365,2.751594,31.564634,67.366615,1,0,0,0,0
7211,'2023/06/12 23:32:06:492',10,63.347168,4.976779,5.957902,32.647907,62.973328,1,0,0,0,0
7212,'2023/06/12 23:32:06:504',10,63.896587,4.684894,10.820642,30.971264,63.966438,1,0,0,0,0
7213,'2023/06/12 23:32:06:527',10,62.251083,5.110027,12.886106,34.112545,62.45208,1,0,0,0,0
7214,'2023/06/12 23:32:06:539',10,62.706791,7.093967,12.746911,33.375198,64.365692,1,0,0,0,0
7215,'2023/06/12 23:32:06:550',10,68.181274,8.661994,11.731891,30.161566,70.3965,1,0,0,0,0
7216,'2023/06/12 23:32:06:573',10,61.359837,9.634534,11.963723,32.361378,65.220551,1,0,0,0,0
7217,'2023/06/12 23:32:06:585',10,64.577637,9.964729,12.961706,31.74667,69.419716,1,0,0,0,0
7218,'2023/06/12 23:32:06:597',10,67.345345,10.788818,14.364328,32.287827,72.514221,1,0,0,0,0
7219,'2023/06/12 23:32:06:620',10,66.412216,10.243405,15.413918,33.666805,71.616692,1,0,0,0,0
7220,'2023/06/12 23:32:06:632',10,66.738289,9.612041,16.029966,32.595066,71.795013,1,0,0,0,0
7221,'2023/06/12 23:32:06:643',10,69.47332,9.864349,16.299746,32.229542,74.84449,1,0,0,0,0
7222,'2023/06/12 23:32:06:666',10,73.322693,9.430939,16.005434,32.195892,78.77935,1,0,0,0,0
7223,'2023/06/12 23:32:06:678',10,71.586708,9.346244,15.39547,32.423298,77.079269,1,0,0,0,0
7224,'2023/06/12 23:32:06:690',10,71.247986,9.554246,15.008152,33.611736,76.660522,1,0,0,0,0
7225,'2023/06/12 23:32:06:713',10,72.835739,9.607975,14.905826,33.645306,77.71814,1,0,0,0,0
7226,'2023/06/12 23:32:06:724',10,64.762901,9.316773,14.988997,32.31794,69.594521,1,0,0,0,0
7227,'2023/06/12 23:32:06:737',10,72.855392,9.009853,14.763718,32.305943,78.06646,1,0,0,0,0
7228,'2023/06/12 23:32:06:759',10,81.635139,9.132612,15.149011,33.828053,87.172218,1,0,0,0,0
7229,'2023/06/12 23:32:06:771',10,78.152046,9.178156,15.917726,35.362503,84.472641,1,0,0,0,0
7230,'2023/06/12 23:32:06:783',10,79.553665,9.106662,15.816501,34.539196,85.635269,1,0,0,0,0
7231,'2023/06/12 23:32:06:806',10,74.292046,9.305253,15.357455,34.2299,81.232491,1,0,0,0,0
7232,'2023/06/12 23:32:06:817',10,70.706894,8.996032,14.338808,34.972424,77.316246,1,0,0,0,0
7233,'2023/06/12 23:32:06:840',10,77.757675,9.525291,14.390016,34.824379,84.068436,1,0,0,0,0
7234,'2023/06/12 23:32:06:853',10,76.753166,9.673321,15.491662,36.788437,83.613808,1,0,0,0,0
7235,'2023/06/12 23:32:06:864',10,73.205162,9.185177,15.786613,36.605499,79.606483,1,0,0,0,0
7236,'2023/06/12 23:32:06:888',10,70.473206,9.382423,15.987184,34.380749,77.032074,1,0,0,0,0
7237,'2023/06/12 23:32:06:898',10,70.333321,9.379795,15.34914,35.834026,76.312599,1,0,0,0,0
7238,'2023/06/12 23:32:06:910',10,73.971222,9.198285,14.690006,33.813381,78.237915,1,0,0,0,0
7239,'2023/06/12 23:32:06:933',10,75.426239,9.393795,14.912973,35.770035,81.053757,1,0,0,0,0
7240,'2023/06/12 23:32:06:945',10,85.1959,9.458324,15.379131,38.827168,91.621887,1,0,0,0,0
7241,'2023/06/12 23:32:06:957',10,82.796104,9.723867,16.83795,37.531418,89.849976,1,0,0,0,0
7242,'2023/06/12 23:32:06:980',10,73.97139,9.328689,16.760433,36.146839,79.553413,1,0,0,0,0
