@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
369,'2023/06/12 00:08:23:725',9,79.801727,1172.040527,7017.053223,1,0,0,0,0
370,'2023/06/12 00:08:23:971',9,108.46804,1246.213867,7045.699219,1,0,0,0,0
371,'2023/06/12 00:08:24:232',9,119.827705,1316.127563,7063.567383,1,0,0,0,0
372,'2023/06/12 00:08:24:493',9,131.910492,1381.447266,7083.540039,1,0,0,0,0
373,'2023/06/12 00:08:24:754',9,143.686874,1439.734985,7102.043945,1,0,0,0,0
374,'2023/06/12 00:08:25:000',9,153.335052,1414.283447,7088.217773,1,0,0,0,0
375,'2023/06/12 00:08:25:256',9,162.643036,1374.143799,7105.234375,1,0,0,0,0
376,'2023/06/12 00:08:25:427',9,172.066528,1342.627686,7095.865234,1,0,0,0,0
377,'2023/06/12 00:08:25:682',9,181.525116,1308.327759,7086.602051,1,0,0,0,0
378,'2023/06/12 00:08:25:944',9,190.422943,1274.283813,7074.193359,1,0,0,0,0
379,'2023/06/12 00:08:26:189',9,201.512833,1349.190308,7119.174805,1,0,0,0,0
380,'2023/06/12 00:08:26:450',9,213.874069,1415.588867,7164.419922,1,0,0,0,0
381,'2023/06/12 00:08:26:707',9,225.983627,1482.829712,7203.123047,1,0,0,0,0
382,'2023/06/12 00:08:26:958',9,237.526382,1548.967773,7244.824219,1,0,0,0,0
383,'2023/06/12 00:08:27:224',9,249.336075,1627.625244,7285.558594,1,0,0,0,0
384,'2023/06/12 00:08:27:480',9,261.993256,1696.54187,7328.886719,1,0,0,0,0
385,'2023/06/12 00:08:27:731',9,273.944611,1764.954834,7362.891602,1,0,0,0,0
386,'2023/06/12 00:08:27:992',9,281.365662,1815.203979,7363.716309,1,0,0,0,0
387,'2023/06/12 00:08:28:243',9,293.35907,1875.791138,7405.762695,1,0,0,0,0
388,'2023/06/12 00:08:28:499',9,305.521118,1940.401367,7449.84082,1,0,0,0,0
389,'2023/06/12 00:08:28:755',9,317.090698,2011.131226,7490.060059,1,0,0,0,0
390,'2023/06/12 00:08:28:925',9,328.872986,2084.090576,7534.314453,1,0,0,0,0
391,'2023/06/12 00:08:29:181',9,340.760773,2152.090576,7578.713867,1,0,0,0,0
392,'2023/06/12 00:08:29:437',9,352.967407,2228.006836,7619.108398,1,0,0,0,0
393,'2023/06/12 00:08:29:693',9,365.137054,2301.28833,7652.089844,1,0,0,0,0
394,'2023/06/12 00:08:29:949',9,376.827515,2377.71875,7695.100586,1,0,0,0,0
395,'2023/06/12 00:08:30:205',9,388.722839,2455.218506,7739.037598,1,0,0,0,0
396,'2023/06/12 00:08:30:461',9,400.641052,2517.018799,7781.092773,1,0,0,0,0
397,'2023/06/12 00:08:30:733',9,412.543121,2590.015381,7824.490234,1,0,0,0,0
398,'2023/06/12 00:08:30:973',9,424.691681,2659.8396,7872.573242,1,0,0,0,0
399,'2023/06/12 00:08:31:229',9,436.580719,2727.043701,7923.48291,1,0,0,0,0
400,'2023/06/12 00:08:31:490',9,448.156738,2807.813477,7960.408203,1,0,0,0,0
401,'2023/06/12 00:08:31:741',9,459.506195,2879.453857,8001.194336,1,0,0,0,0
402,'2023/06/12 00:08:31:997',9,471.638306,2938.935791,8044.311035,1,0,0,0,0
403,'2023/06/12 00:08:32:248',9,475.559143,2966.161133,8051.013672,1,0,0,0,0
404,'2023/06/12 00:08:32:509',9,487.253693,3027.402344,8102.487305,1,0,0,0,0
405,'2023/06/12 00:08:32:680',9,498.571869,3087.322998,8118.357422,1,0,0,0,0
406,'2023/06/12 00:08:32:941',9,509.577972,3147.642334,8167.008789,1,0,0,0,0
407,'2023/06/12 00:08:33:192',9,513.975281,3162.086426,8164.75,1,0,0,0,0
408,'2023/06/12 00:08:33:448',9,524.785461,3225.77124,8182.587891,1,0,0,0,0
409,'2023/06/12 00:08:33:709',9,535.555664,3293.884521,8209.037109,1,0,0,0,0
410,'2023/06/12 00:08:57:687',10,532.118042,4217.501465,8956.734375,0,1,0,0,0
411,'2023/06/12 00:08:57:938',10,524.791199,4163.73584,8893.658203,0,1,0,0,0
412,'2023/06/12 00:08:58:194',10,517.697693,4103.969238,8855.624023,0,1,0,0,0
413,'2023/06/12 00:08:58:450',10,509.790955,4050.991943,8821.139648,0,1,0,0,0
414,'2023/06/12 00:08:58:711',10,502.460938,4064.672607,8817.767578,0,1,0,0,0
