ID,'yyyy/MM/dd HH:mm:ss:SSS','Training round',inputs-1,inputs-2,inputs-3,outputs-1,outputs-2,outputs-3,outputs-4,outputs-5
630,'2023/06/12 00:36:07:882',14,1138.075317,3619.430664,6619.777832,1,0,0,0,0
631,'2023/06/12 00:36:08:052',14,1280.299683,4159.703613,6832.80127,1,0,0,0,0
632,'2023/06/12 00:36:08:313',14,513.609924,2263.796387,5328.227539,1,0,0,0,0
633,'2023/06/12 00:36:08:564',14,798.609985,5086.185059,7911.454102,1,0,0,0,0
634,'2023/06/12 00:36:08:825',14,847.363525,5363.515137,7919.514648,1,0,0,0,0
635,'2023/06/12 00:36:09:081',14,781.320679,5413.59668,8493.527344,1,0,0,0,0
636,'2023/06/12 00:36:09:332',14,810.221069,5499.17041,8619.731445,1,0,0,0,0
637,'2023/06/12 00:36:09:588',14,870.978394,5519.578613,8584.042969,1,0,0,0,0
638,'2023/06/12 00:36:09:844',14,716.341125,1306.92334,5943.931641,1,0,0,0,0
639,'2023/06/12 00:36:10:100',14,812.298523,5666.49707,7650.649414,1,0,0,0,0
640,'2023/06/12 00:36:10:356',14,821.429443,5998.396973,8588.689453,1,0,0,0,0
641,'2023/06/12 00:36:10:617',14,699.016785,1353.96521,7133.556152,1,0,0,0,0
642,'2023/06/12 00:36:10:873',14,790.504456,6978.960449,7510.412598,1,0,0,0,0
643,'2023/06/12 00:36:11:124',14,826.179321,5121.562988,7118.147949,1,0,0,0,0
644,'2023/06/12 00:36:11:380',14,765.107971,4209.429688,7255.27832,1,0,0,0,0
645,'2023/06/12 00:36:11:551',14,921.473999,6112.450195,8141.520996,1,0,0,0,0
646,'2023/06/12 00:36:11:807',14,839.849243,6168.64209,7588.09668,1,0,0,0,0
647,'2023/06/12 00:36:12:068',14,830.220825,4932.697754,7323.824219,1,0,0,0,0
648,'2023/06/12 00:36:12:319',14,946.022827,6755.44043,7556.411133,1,0,0,0,0
649,'2023/06/12 00:36:12:575',14,851.903259,5281.989258,7227.060547,1,0,0,0,0
650,'2023/06/12 00:36:12:831',14,933.738831,5262.634277,7096.253906,1,0,0,0,0
651,'2023/06/12 00:36:13:087',14,953.305237,4936.390137,7112.463867,1,0,0,0,0
652,'2023/06/12 00:36:13:343',14,922.374817,5603.229004,7124.313965,1,0,0,0,0
653,'2023/06/12 00:36:13:599',14,877.799072,4767.794922,7086.500488,1,0,0,0,0
654,'2023/06/12 00:36:13:855',14,958.489624,4989.603027,7322.589844,1,0,0,0,0
655,'2023/06/12 00:36:14:111',14,883.835144,5206.646973,7334.54541,1,0,0,0,0
656,'2023/06/12 00:36:14:367',14,859.029724,5116.347656,7725.669922,1,0,0,0,0
657,'2023/06/12 00:36:14:623',14,862.83728,6002.419434,6975.407227,1,0,0,0,0
658,'2023/06/12 00:36:14:879',14,865.187195,4950.508789,7760.793945,1,0,0,0,0
659,'2023/06/12 00:36:15:049',14,879.942932,2467.550049,5110.279297,1,0,0,0,0
660,'2023/06/12 00:36:22:132',15,1486.064941,4053.114746,7084.241211,0,1,0,0,0
661,'2023/06/12 00:36:22:303',15,384.101776,3517.775635,6618.592285,0,1,0,0,0
662,'2023/06/12 00:36:22:559',15,352.945862,3292.74707,6851.473145,0,1,0,0,0
663,'2023/06/12 00:36:22:820',15,343.683807,3239.339355,6984.831543,0,1,0,0,0
664,'2023/06/12 00:36:23:071',15,361.787689,3312.3125,6984.374023,0,1,0,0,0
665,'2023/06/12 00:36:23:327',15,364.745514,3113.76123,7126.516602,0,1,0,0,0
666,'2023/06/12 00:36:23:582',15,352.058746,2974.323486,7048.542969,0,1,0,0,0
667,'2023/06/12 00:36:23:839',15,366.461121,3256.693359,6995.297363,0,1,0,0,0
668,'2023/06/12 00:36:24:095',15,371.399597,2996.36084,7107.663086,0,1,0,0,0
669,'2023/06/12 00:36:24:351',15,364.444855,2917.123779,6948.933105,0,1,0,0,0
