@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
1,'2023/06/11 21:24:44:523',1,2124.109619,6983.652832,11940.431641,0,0,0,0,0
2,'2023/06/11 21:24:44:779',1,1920.089233,7082.841797,12503.474609,0,0,0,0,0
3,'2023/06/11 21:24:45:035',1,1819.918335,3249.43042,7853.134277,0,0,0,0,0
4,'2023/06/11 21:24:45:296',1,1857.338745,3205.806152,7922.210449,0,0,0,0,0
5,'2023/06/11 21:24:45:547',1,2117.331787,7109.687988,11246.824219,0,0,0,0,0
6,'2023/06/11 21:24:45:808',1,1834.692261,3238.847168,7958.40332,0,0,0,0,0
7,'2023/06/11 21:24:46:059',1,0,0,1978.880859,0,0,0,0,0
8,'2023/06/11 21:24:46:315',1,1468.891113,2072.223877,5681.921875,0,0,0,0,0
9,'2023/06/11 21:24:46:571',1,775.539795,4807.506348,8677.730469,0,0,0,0,0
10,'2023/06/11 21:24:46:827',1,775.980652,5438.853027,8995.537109,0,0,0,0,0
11,'2023/06/11 21:24:47:083',1,769.600586,4462.741211,8618.775391,0,0,0,0,0
12,'2023/06/11 21:24:47:339',1,771.262329,3670.383545,9119.647461,0,0,0,0,0
13,'2023/06/11 21:24:47:595',1,790.92218,3370.682617,8787.163086,0,0,0,0,0
14,'2023/06/11 21:24:47:851',1,797.190491,3552.558838,8806.695313,0,0,0,0,0
15,'2023/06/11 21:24:48:021',1,789.469421,3023.042725,9110.535156,0,0,0,0,0
16,'2023/06/11 21:24:48:277',1,772.259033,3165.180176,9025.979492,0,0,0,0,0
17,'2023/06/11 21:24:48:533',1,769.535767,3502.739502,9244.764648,0,0,0,0,0
18,'2023/06/11 21:24:48:789',1,784.602051,3309.096924,9108.503906,0,0,0,0,0
19,'2023/06/11 21:24:49:045',1,756.409912,3413.318848,8891.998047,0,0,0,0,0
20,'2023/06/11 21:24:49:301',1,774.625,3441.35498,8873.594727,0,0,0,0,0
21,'2023/06/11 21:24:49:562',1,0,0,2766.851563,0,0,0,0,0
22,'2023/06/11 21:24:49:813',1,0,0,0,0,0,0,0,0
23,'2023/06/11 21:24:50:069',1,0,0,2784.096924,0,0,0,0,0
24,'2023/06/11 21:24:50:325',1,0,0,3168.992432,0,0,0,0,0
25,'2023/06/11 21:24:50:586',1,0,0,2987.191162,0,0,0,0,0
26,'2023/06/11 21:24:50:837',1,0,0,3035.75293,0,0,0,0,0
27,'2023/06/11 21:24:51:093',1,0,0,3507.513672,0,0,0,0,0
28,'2023/06/11 21:24:51:349',1,0,0,2550.686768,0,0,0,0,0
29,'2023/06/11 21:24:51:520',1,0,0,1817.167603,0,0,0,0,0
30,'2023/06/11 21:24:51:776',1,0,0,2624.35083,0,0,0,0,0
31,'2023/06/11 21:24:52:032',1,0,0,2819.876465,0,0,0,0,0
32,'2023/06/11 21:24:52:288',1,0,0,2845.227295,0,0,0,0,0
33,'2023/06/11 21:24:52:544',1,1461.508301,3593.674316,7857.307617,0,0,0,0,0
34,'2023/06/11 21:24:52:800',1,0,0,3726.952393,0,0,0,0,0
35,'2023/06/11 21:24:53:056',1,0,0,4002.562744,0,0,0,0,0
36,'2023/06/11 21:24:53:312',1,0,0,3829.295166,0,0,0,0,0
37,'2023/06/11 21:24:53:573',1,0,0,4154.224609,0,0,0,0,0
38,'2023/06/11 21:24:53:824',1,0,0,3678.817139,0,0,0,0,0
39,'2023/06/11 21:24:54:085',1,0,0,3769.037354,0,0,0,0,0
40,'2023/06/11 21:24:54:336',1,0,0,3782.97168,0,0,0,0,0
41,'2023/06/11 21:24:54:592',1,0,0,3886.896484,0,0,0,0,0
42,'2023/06/11 21:24:54:858',1,0,0,4268.29541,0,0,0,0,0
43,'2023/06/11 21:24:55:018',1,0,0,3780.762451,0,0,0,0,0
44,'2023/06/11 21:24:55:274',1,0,0,4140.872559,0,0,0,0,0
45,'2023/06/11 21:24:55:536',1,0,0,4461.571289,0,0,0,0,0
46,'2023/06/11 21:24:55:786',1,0,0,2991.865234,0,0,0,0,0
47,'2023/06/11 21:24:56:042',1,1646.920654,3251.678711,8278.371094,0,0,0,0,0
48,'2023/06/11 21:24:56:298',1,1864.474121,3168.896729,7815.958008,0,0,0,0,0
49,'2023/06/11 21:24:56:554',1,1901.168945,3202.645752,7829.464844,0,0,0,0,0
50,'2023/06/11 21:24:56:810',1,556.159546,4532.459473,7823.683594,0,0,0,0,0
51,'2023/06/11 21:24:57:066',1,570.975037,4261.806152,7693.172852,0,0,0,0,0
52,'2023/06/11 21:24:57:322',1,550.308594,5301.579102,8093.272461,0,0,0,0,0
53,'2023/06/11 21:24:57:583',1,548.502136,5220.270508,7974.780273,0,0,0,0,0
54,'2023/06/11 21:24:57:834',1,550.248413,4292.20752,8147.343262,0,0,0,0,0
55,'2023/06/11 21:24:58:090',1,545.272278,4312.362305,8426.644531,0,0,0,0,0
